workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=saga, iteration=10000",129.2622771,0.529679825,0.527399059,9117.1,5678.5,8001.7,5135.8,6/4/2021 15:51
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=50, max_depth=2, max_feature=None",23.9505411,0.518864698,0.511387544,12486.2,2007.3,11672.9,1766.7,7/4/2021 6:10
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=50, max_depth=2, max_feature=sqrt",32.60763963,0.516720301,0.508180816,13203.6,1230,12450.2,1049.3,7/4/2021 6:14
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=50, max_depth=2, max_feature=log2",24.30626769,0.514694022,0.50541161,13679.7,697.3,12982.9,573.2,7/4/2021 6:18
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=90, solver=lbfgs, iteration=100",128.1755218,0.529583165,0.527302481,9116.2,5676.7,8003.5,5136.7,7/4/2021 7:47
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=sag, iteration=10000",130.6783769,0.529561685,0.527387831,9039.7,5752.6,7927.6,5213.2,7/4/2021 9:59
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=saga, iteration=100",129.1991889,0.529525886,0.527297747,9076.6,5714.7,7965.5,5176.3,7/4/2021 10:06
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=50, max_depth=16, max_feature=None",729.0956224,0.573581156,0.572234233,9096.2,6925.7,6754.5,5156.7,7/4/2021 10:12
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=50, max_depth=16, max_feature=sqrt",613.8804487,0.565189688,0.563428265,9266.7,6520.8,7159.4,4986.2,7/4/2021 10:41
05D_tml_cv_pca_random_forest,Random Forest model PCA,"pca_n_components=70, n_estimators=50, max_depth=16, max_feature=log2",643.8004917,0.563199203,0.561213554,9388.1,6343.8,7336.4,4864.8,7/4/2021 11:03
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=saga, iteration=1000",134.9961763,0.529880303,0.527704825,9045.4,5755.8,7924.4,5207.5,7/4/2021 11:13
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=50, max_depth=16, max_feature=None",1724.054002,0.66179904,0.661657957,9526.8,8959.3,4720.9,4726.1,7/4/2021 13:07
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=50, max_depth=16, max_feature=sqrt",1589.715504,0.651656993,0.650803336,9873.4,8329.4,5350.8,4379.5,7/4/2021 13:44
04D_tml_cv_baseline_random_forest,Random Forest model,"n_estimators=50, max_depth=16, max_feature=log2",1459.859174,0.63626309,0.63531148,9728.3,8044.5,5635.7,4524.6,7/4/2021 14:08
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=saga, iteration=10000",130.3243423,0.529601064,0.527427166,9040.2,5753.2,7927,5212.7,8/4/2021 0:09
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=lbfgs, iteration=100",139.8287378,0.529883881,0.527719879,9036.9,5764.4,7915.8,5216,8/4/2021 0:11
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=lbfgs, iteration=1000",132.3058975,0.529554523,0.527378134,9041.4,5750.7,7929.5,5211.5,8/4/2021 0:19
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=lbfgs, iteration=10000",132.3058975,0.529554523,0.527378134,9041.4,5750.7,7929.5,5211.5,8/4/2021 0:26
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=90, iteration=10000",132.6316632,0.529729941,0.52745036,9115.8,5681.2,7999,5137.1,8/4/2021 1:20
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=110, iteration=100",26.56669517,0.503850284,0.503766515,7187.1,6887,6793.2,7065.8,8/4/2021 1:24
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=110, iteration=500",62.39890526,0.513623589,0.51291647,7828.4,6518.7,7161.5,6424.5,8/4/2021 1:44
05E_tml_cv_pca_linear_svm,Linear SVM model PCA,"pca_n_components=110, iteration=1000",104.7419443,0.526042572,0.524119866,8827.4,5866.6,7813.6,5425.5,8/4/2021 3:51
