workbook_name,model_name,model_params,utility,accuracy,logit_roc_auc,true_pos,true_neg,false_pos,false_neg,timestamp
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=16, splitter=best, max_feature=log2",187.2773171,0.527567637,5777.2,0.52617061,8475.7,6260.9,7419.3,6/4/2021 15:05
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=16, splitter=random, max_feature=None",192.9217743,0.530209669,5752.7,0.528842849,8500.2,6310.2,7370,6/4/2021 15:05
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=16, splitter=random, max_feature=sqrt",35.35310951,0.518370686,3698.1,0.513755039,10554.8,3924.9,9755.3,6/4/2021 15:05
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=16, splitter=random, max_feature=log2",22.70043665,0.512889731,3400,0.507997849,10852.9,3473.7,10206.5,6/4/2021 15:05
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=saga, iteration=100",132.6189359,0.530460258,5156,0.52822568,9096.9,5720.5,7959.7,6/4/2021 17:02
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=saga, iteration=1000",129.0316387,0.530746656,5162.5,0.528527208,9090.4,5735,7945.2,6/4/2021 17:39
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=110, solver=saga, iteration=10000",129.0316387,0.530746656,5162.5,0.528527208,9090.4,5735,7945.2,6/4/2021 18:16
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=32, splitter=best, max_feature=None",275.7306046,0.531179849,6539.1,0.530963254,7713.8,7123.7,6556.5,6/4/2021 15:15
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=liblinear, iteration=100",132.1206487,0.529583166,5213.5,0.527410396,9039.4,5753.5,7926.7,6/4/2021 18:37
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=32, splitter=best, max_feature=log2",170.6881687,0.524195309,6610,0.523948968,7642.9,6999.5,6680.7,6/4/2021 15:17
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=32, splitter=random, max_feature=None",187.2039745,0.526848085,6585.9,0.526618655,7667,7049.5,6630.7,6/4/2021 15:18
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=32, splitter=random, max_feature=sqrt",90.76868063,0.523393385,5591.4,0.521553391,8661.5,5958.5,7721.7,6/4/2021 15:18
05C_tml_cv_pca_decision_tree,Decision Tree model PCA,"pca_n_components=70, max_depth=32, splitter=random, max_feature=log2",96.80140636,0.519666615,5666.6,0.517989726,8586.3,5929.6,7750.6,6/4/2021 15:18
05A_tml_cv_pca_logistic_regression,Logistic Regression model PCA,"pca_n_components=130, solver=liblinear, iteration=1000",132.1206487,0.529583166,5213.5,0.527410396,9039.4,5753.5,7926.7,6/4/2021 18:52
